"Name","COVID-19 Hospitalizations by Neighborhood Poverty"
"Description","Neighborhood poverty as the percentage of people earning incomes below the Federal Poverty Threshold within a ZCTA, such that:&nbsp;<br />
<em>Low</em>: &lt;10% of residents in ZCTA living below the Federal Poverty Threshold&nbsp;<br />
<em>Medium</em>: 10% to &lt;20%&nbsp;<br />
<em>High</em>: 20% to &lt;30%<br />
<em>Very high</em>: &ge;30% residents living below the FPT<br />
<br />
Rates refer to number of confirmed cases per 100,000 people in ZCTA of residence.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Neighborhood Poverty,TimeFrame,DataFormat,Data,Fips
New York City,Low,07/09,Rate,355.7,3651000
New York City,Medium,07/09,Rate,553.07,3651000
New York City,High,07/09,Rate,703.92,3651000
New York City,Very High,07/09,Rate,805.08,3651000
New York City,Low,07/20,Number,7624,3651000
New York City,Medium,07/20,Number,21442,3651000
New York City,High,07/20,Number,15466,3651000
New York City,Very High,07/20,Number,10718,3651000
New York City,Low,07/20,Rate,356.74,3651000
New York City,Medium,07/20,Rate,556.66,3651000
New York City,High,07/20,Rate,709.03,3651000
New York City,Very High,07/20,Rate,813.96,3651000
New York City,Low,07/30,Number,7662,3651000
New York City,Medium,07/30,Number,21575,3651000
New York City,High,07/30,Number,15585,3651000
New York City,Very High,07/30,Number,10826,3651000
New York City,Low,07/30,Rate,358.63,3651000
New York City,Medium,07/30,Rate,560.22,3651000
New York City,High,07/30,Rate,714.62,3651000
New York City,Very High,07/30,Rate,821.99,3651000
New York City,Low,08/05,Number,7714,3651000
New York City,Medium,08/05,Number,21673,3651000
New York City,High,08/05,Number,15660,3651000
New York City,Very High,08/05,Number,10885,3651000
New York City,Low,08/05,Rate,361.26,3651000
New York City,Medium,08/05,Rate,562.83,3651000
New York City,High,08/05,Rate,718.08,3651000
New York City,Very High,08/05,Rate,826.38,3651000
New York City,Low,08/16,Number,7747,3651000
New York City,Medium,08/16,Number,21789,3651000
New York City,High,08/16,Number,15763,3651000
New York City,Very High,08/16,Number,10980,3651000
New York City,Low,08/16,Rate,362.86,3651000
New York City,Medium,08/16,Rate,566.01,3651000
New York City,High,08/16,Rate,722.93,3651000
New York City,Very High,08/16,Rate,833.43,3651000
New York City,Low,08/23,Number,7764,3651000
New York City,Medium,08/23,Number,21854,3651000
New York City,High,08/23,Number,15808,3651000
New York City,Very High,08/23,Number,11033,3651000
New York City,Low,08/23,Rate,363.69,3651000
New York City,Medium,08/23,Rate,567.77,3651000
New York City,High,08/23,Rate,725.1,3651000
New York City,Very High,08/23,Rate,837.44,3651000
New York City,Low,09/07,Number,7801,3651000
New York City,Medium,09/07,Number,21979,3651000
New York City,High,09/07,Number,15921,3651000
New York City,Very High,09/07,Number,11114,3651000
New York City,Low,09/07,Rate,365.35,3651000
New York City,Medium,09/07,Rate,571.1,3651000
New York City,High,09/07,Rate,730.43,3651000
New York City,Very High,09/07,Rate,843.55,3651000
New York City,Low,09/14,Number,7820,3651000
New York City,Medium,09/14,Number,22020,3651000
New York City,High,09/14,Number,15969,3651000
New York City,Very High,09/14,Number,11155,3651000
New York City,Low,09/14,Rate,366.3,3651000
New York City,Medium,09/14,Rate,572.22,3651000
New York City,High,09/14,Rate,732.66,3651000
New York City,Very High,09/14,Rate,846.57,3651000
New York City,Low,09/27,Number,7918,3651000
New York City,Medium,09/27,Number,22241,3651000
New York City,High,09/27,Number,16143,3651000
New York City,Very High,09/27,Number,11280,3651000
New York City,Low,09/27,Rate,370.99,3651000
New York City,Medium,09/27,Rate,578.11,3651000
New York City,High,09/27,Rate,740.75,3651000
New York City,Very High,09/27,Rate,856.01,3651000
New York City,Low,10/07,Number,7840,3651000
New York City,Medium,10/07,Number,22098,3651000
New York City,High,10/07,Number,16104,3651000
New York City,Very High,10/07,Number,11128,3651000
New York City,Low,10/07,Rate,368.19,3651000
New York City,Medium,10/07,Rate,574.85,3651000
New York City,High,10/07,Rate,739.34,3651000
New York City,Very High,10/07,Rate,844.46,3651000
New York City,Low,10/14,Number,7873,3651000
New York City,Medium,10/14,Number,22187,3651000
New York City,High,10/14,Number,16179,3651000
New York City,Very High,10/14,Number,11173,3651000
New York City,Low,10/14,Rate,369.75,3651000
New York City,Medium,10/14,Rate,577.22,3651000
New York City,High,10/14,Rate,742.78,3651000
New York City,Very High,10/14,Rate,847.89,3651000
New York City,Low,10/21,Number,7953,3651000
New York City,Medium,10/21,Number,22425,3651000
New York City,High,10/21,Number,16339,3651000
New York City,Very High,10/21,Number,11282,3651000
New York City,Low,10/28,Number,8010,3651000
New York City,Medium,10/28,Number,22564,3651000
New York City,High,10/28,Number,16457,3651000
New York City,Very High,10/28,Number,11341,3651000
