"Name","COVID-19 Hospitalizations by Sex"
"Description","Hospitalizations are estimations that reflect the&nbsp;<strong>total&nbsp;</strong>number of people ever admitted to a hospital for COVID-19,&nbsp;<strong>not</strong>&nbsp;currently admitted. For more information on how DOHMH estimates the number of hospitalizations to COVID-19, see&nbsp;<a href=""https://github.com/nychealth/coronavirus-data#estimated-number-of-covid-19-patients-ever-hospitalized"">their technical notes</a>.&nbsp;Rates refer to the estimated number of hospitalizations per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Hospitalizations&nbsp;were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new hospitalizations per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;<br />
Decreases in hospitalization data after 10/6, are due to enhanced data cleaning processes which restricts the classification of hospitalizations due to COVID-19 only if the patient was admitted within 14 days of diagnosis date."

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Female,09/14,Rate,573.65,3651000
New York City,Male,09/14,Rate,804.2,3651000
New York City,Female,09/27,Number,25490,3651000
New York City,Male,09/27,Number,32549,3651000
New York City,Female,09/27,Rate,580.27,3651000
New York City,Male,09/27,Rate,812.51,3651000
New York City,Female,10/07,Number,25386,3651000
New York City,Male,10/07,Number,32226,3651000
New York City,Female,10/07,Rate,577.9,3651000
New York City,Male,10/07,Rate,804.45,3651000
New York City,Female,10/14,Number,25497,3651000
New York City,Male,10/14,Number,32356,3651000
New York City,Female,10/14,Rate,580.43,3651000
New York City,Male,10/14,Rate,807.69,3651000
New York City,Female,10/21,Number,25793,3651000
New York City,Male,10/21,Number,32657,3651000
New York City,Female,10/28,Number,25979,3651000
New York City,Male,10/28,Number,32839,3651000
New York City,Female,10/21,Rate,587.17,3651000
New York City,Male,10/21,Rate,815.21,3651000
New York City,Female,10/28,Rate,591.4,3651000
New York City,Male,10/28,Rate,819.75,3651000
New York City,Female,11/04,Number,26173,3651000
New York City,Male,11/04,Number,33020,3651000
New York City,Female,11/12,Number,26408,3651000
New York City,Male,11/12,Number,33259,3651000
New York City,Female,11/04,Rate,595.82,3651000
New York City,Male,11/04,Rate,824.27,3651000
New York City,Female,11/12,Rate,605.91,3651000
New York City,Male,11/12,Rate,835.98,3651000
New York City,Female,11/19,Number,26700,3651000
New York City,Male,11/19,Number,33553,3651000
New York City,Female,11/26,Number,27081,3651000
New York City,Male,11/26,Number,33975,3651000
New York City,Female,12/03,Number,27535,3651000
New York City,Male,12/03,Number,34459,3651000
New York City,Female,12/11,Number,28300,3651000
New York City,Male,12/11,Number,35319,3651000
New York City,Female,11/19,Rate,612.61,3651000
New York City,Male,11/19,Rate,843.37,3651000
New York City,Female,11/26,Rate,621.36,3651000
New York City,Male,11/26,Rate,853.98,3651000
New York City,Female,12/03,Rate,631.77,3651000
New York City,Male,12/03,Rate,866.14,3651000
New York City,Female,12/11,Rate,649.32,3651000
New York City,Male,12/11,Rate,887.76,3651000
New York City,Female,1/27,Number,35265,3651000
New York City,Male,1/27,Number,42781,3651000
New York City,Female,2/12,Number,38069,3651000
New York City,Male,2/12,Number,45702,3651000
