"Name","COVID-19 Cases by Race/Ethnicity"
"Description","Racial groups are defined such that:&nbsp;<br />
<em>Asian</em>&nbsp;= Asian or Pacific Islander<br />
<em>Black</em>&nbsp;= Black or African American<br />
<em>Hispanic</em>&nbsp;= Hispanic or Latino, regardless of race<br />
<em>White</em>&nbsp;= White&nbsp;<br />
<br />
Rates are age adjusted according to the U.S. 2000 standard population, per 100,000 people by racial/ethnic group.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Cases were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated. For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong>"
"Notes","Data on people identified as American Indian/Alaska Native, two or more races, or other races/ethnicities are not shown, as precise race-specific population estimates are not available for these groups in NYC. Race/ethnicity information is most complete for people who have been hospitalized or have died.<br />
<br />
Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
New York City,Hispanic,10/21,Number,50518,3651000
New York City,White,10/21,Number,40594,3651000
New York City,Asian,10/28,Number,11848,3651000
New York City,Black,10/28,Number,38765,3651000
New York City,Hispanic,10/28,Number,51505,3651000
New York City,White,10/28,Number,41596,3651000
New York City,Asian,10/21,Rate,854.26,3651000
New York City,Black,10/21,Rate,1877.18,3651000
New York City,Hispanic,10/21,Rate,2076.92,3651000
New York City,White,10/21,Rate,1323.54,3651000
New York City,Asian,10/28,Rate,882.85,3651000
New York City,Black,10/28,Rate,1897.19,3651000
New York City,Hispanic,10/28,Rate,2116.71,3651000
New York City,White,10/28,Rate,1359.98,3651000
New York City,Asian,11/04,Number,12141,3651000
New York City,Black,11/04,Number,39239,3651000
New York City,Hispanic,11/04,Number,52689,3651000
New York City,White,11/04,Number,42577,3651000
New York City,Asian,11/12,Number,12444,3651000
New York City,Black,11/12,Number,39717,3651000
New York City,Hispanic,11/12,Number,53833,3651000
New York City,White,11/12,Number,43691,3651000
New York City,Asian,11/04,Rate,905.3,3651000
New York City,Black,11/04,Rate,1921.88,3651000
New York City,Hispanic,11/04,Rate,2164.82,3651000
New York City,White,11/04,Rate,1395.81,3651000
New York City,Asian,11/12,Rate,920.97,3651000
New York City,Black,11/12,Rate,1978.27,3651000
New York City,Hispanic,11/12,Rate,2228.51,3651000
New York City,White,11/12,Rate,1462.48,3651000
New York City,Asian,11/19,Number,13298,3651000
New York City,Black,11/19,Number,40847,3651000
New York City,Hispanic,11/19,Number,56691,3651000
New York City,White,11/19,Number,46247,3651000
New York City,Asian,11/26,Number,14049,3651000
New York City,Black,11/26,Number,41930,3651000
New York City,Hispanic,11/26,Number,59575,3651000
New York City,White,11/26,Number,48666,3651000
New York City,Asian,12/03,Number,14834,3651000
New York City,Black,12/03,Number,43102,3651000
New York City,Hispanic,12/03,Number,62351,3651000
New York City,White,12/03,Number,51259,3651000
New York City,Asian,12/11,Number,16637,3651000
New York City,Black,12/11,Number,45765,3651000
New York City,Hispanic,12/11,Number,69016,3651000
New York City,White,12/11,Number,56471,3651000
New York City,Asian,11/19,Rate,987.61,3651000
New York City,Black,11/19,Rate,2038.43,3651000
New York City,Hispanic,11/19,Rate,2345.96,3651000
New York City,White,11/19,Rate,1558.59,3651000
New York City,Asian,11/26,Rate,1046.33,3651000
New York City,Black,11/26,Rate,2095.91,3651000
New York City,Hispanic,11/26,Rate,2464.24,3651000
New York City,White,11/26,Rate,1648.81,3651000
New York City,Asian,12/03,Rate,1107.03,3651000
New York City,Black,12/03,Rate,2158.57,3651000
New York City,Hispanic,12/03,Rate,2578.13,3651000
New York City,White,12/03,Rate,1745.06,3651000
New York City,Asian,12/11,Rate,1246.19,3651000
New York City,Black,12/11,Rate,2301.23,3651000
New York City,Hispanic,12/11,Rate,2852.21,3651000
New York City,White,12/11,Rate,1939.11,3651000
New York City,Asian,1/27,Number,36346,3651000
New York City,Black,1/27,Number,73174,3651000
New York City,Hispanic,1/27,Number,123576,3651000
New York City,White,1/27,Number,102322,3651000
New York City,Asian,2/12,Number,43179,3651000
New York City,Black,2/12,Number,84099,3651000
New York City,Hispanic,2/12,Number,142479,3651000
New York City,White,2/12,Number,117084,3651000
New York City,Asian,2/26,Number,49359,3651000
New York City,Black,2/26,Number,93599,3651000
New York City,Hispanic,2/26,Number,159054,3651000
New York City,White,2/26,Number,130256,3651000
New York City,Asian,3/05,Number,51693,3651000
New York City,Black,3/05,Number,97172,3651000
New York City,Hispanic,3/05,Number,165231,3651000
New York City,White,3/05,Number,135091,3651000
New York City,Asian,1/27,Rate,2770,3651000
New York City,Black,1/27,Rate,3745.14,3651000
New York City,Hispanic,1/27,Rate,5097.23,3651000
New York City,White,1/27,Rate,3605.51,3651000
New York City,Asian,2/12,Rate,3301.88,3651000
New York City,Black,2/12,Rate,4327.18,3651000
New York City,Hispanic,2/12,Rate,5875.25,3651000
New York City,White,2/12,Rate,4147.05,3651000
New York City,Asian,2/26,Rate,3781.03,3651000
New York City,Black,2/26,Rate,4834.6,3651000
New York City,Hispanic,2/26,Rate,6559.19,3651000
New York City,White,2/26,Rate,4630.29,3651000
New York City,Asian,3/05,Rate,3964.86,3651000
New York City,Black,3/05,Rate,5027.13,3651000
New York City,Hispanic,3/05,Rate,6813.91,3651000
New York City,White,3/05,Rate,4810.99,3651000
New York City,Asian,3/19,Number,56708,3651000
New York City,Black,3/19,Number,103617,3651000
New York City,Hispanic,3/19,Number,177342,3651000
New York City,White,3/19,Number,145174,3651000
New York City,Asian,4/02,Number,62254,3651000
New York City,Black,4/02,Number,111917,3651000
New York City,Hispanic,4/02,Number,190520,3651000
New York City,White,4/02,Number,155730,3651000
New York City,Asian,4/11,Number,65393,3651000
New York City,Black,4/11,Number,116610,3651000
New York City,Hispanic,4/11,Number,197478,3651000
New York City,White,4/11,Number,161327,3651000
New York City,Asian,3/19,Rate,4354.22,3651000
New York City,Black,3/19,Rate,5373.04,3651000
New York City,Hispanic,3/19,Rate,7312.14,3651000
New York City,White,3/19,Rate,5191.41,3651000
New York City,Asian,4/02,Rate,4789.86,3651000
New York City,Black,4/02,Rate,5823.89,3651000
New York City,Hispanic,4/02,Rate,7855.15,3651000
New York City,White,4/02,Rate,5592.71,3651000
New York City,Asian,4/11,Rate,5035.79,3651000
New York City,Black,4/11,Rate,6081.53,3651000
New York City,Hispanic,4/11,Rate,8141.19,3651000
New York City,White,4/11,Rate,5803.58,3651000
