"Name","COVID-19 Cases by Sex"
"Description","Rates refer to the total number of confirmed COVID-19 cases per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Cases were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;<strong>These data are no longer being regularly updated. For the latest data on <strong>COVID-19</strong>, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new cases per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete. Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;"

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Female,06/05,Number,98467,3651000
New York City,Male,06/05,Number,104240,3651000
New York City,Female,06/05,Rate,2241.57,3651000
New York City,Male,06/05,Rate,2602.12,3651000
New York City,Female,06/08,Number,99169,3651000
New York City,Male,06/08,Number,104944,3651000
New York City,Female,06/08,Rate,2257.55,3651000
New York City,Male,06/08,Rate,2619.69,3651000
New York City,Female,06/12,Number,99950,3651000
New York City,Male,06/12,Number,105771,3651000
New York City,Female,06/12,Rate,2275.33,3651000
New York City,Male,06/12,Rate,2640.33,3651000
New York City,Female,06/15,Number,100536,3651000
New York City,Male,06/15,Number,106362,3651000
New York City,Female,06/15,Rate,2288.67,3651000
New York City,Male,06/15,Rate,2655.09,3651000
New York City,Female,06/19,Number,101279,3651000
New York City,Male,06/19,Number,107045,3651000
New York City,Female,06/19,Rate,2305.58,3651000
New York City,Male,06/19,Rate,2672.14,3651000
New York City,Female,06/22,Number,101825,3651000
New York City,Male,06/22,Number,107604,3651000
New York City,Female,06/22,Rate,2318.01,3651000
New York City,Male,06/22,Rate,2686.09,3651000
New York City,Female,06/26,Number,102490,3651000
