"Name","COVID-19 Deaths by Sex"
"Description","Rates refer to the number of COVID-19 deaths per 100,000 individuals.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, COVID-19 Data (2020). Retrieved from:&nbsp;<a href=""https://github.com/nychealth/coronavirus-data"" target=""_blank"">https://github.com/nychealth/coronavirus-data</a><br />
<br />
<strong><strong><strong>Data for COVID-19 Deaths were updated weekly for the period of April 2, 2020 through April 2, 2021.&nbsp;</strong><strong><strong>These data are no longer being regularly updated.&nbsp;</strong><strong><strong>For the latest data on COVID-19, see:&nbsp;</strong><a href=""https://www1.nyc.gov/site/doh/covid/covid-19-data.page"" target=""_blank"">https://www1.nyc.gov/site/doh/covid/covid-19-data.page</a></strong></strong></strong></strong>"
"Notes","Data are cumulative and do not represent new deaths per day listed. Data are being collected in real-time and are preliminary and subject to change as COVID-19 response continues. Due to delays in reporting, recent data are incomplete.&nbsp;Cases among transgender and gender nonconforming individuals are not included at this time.&nbsp;"

Location,Sex,TimeFrame,DataFormat,Data,Fips
New York City,Female,10/14,Rate,176.06,3651000
New York City,Male,10/14,Rate,287.6,3651000
New York City,Female,10/21,Number,7745,3651000
New York City,Male,10/21,Number,11546,3651000
New York City,Female,10/28,Number,7761,3651000
New York City,Male,10/28,Number,11560,3651000
New York City,Female,10/21,Rate,176.31,3651000
New York City,Male,10/21,Rate,288.22,3651000
New York City,Female,10/28,Rate,176.68,3651000
New York City,Male,10/28,Rate,288.57,3651000
New York City,Female,11/04,Number,7785,3651000
New York City,Male,11/04,Number,11586,3651000
New York City,Female,11/12,Number,7808,3651000
New York City,Male,11/12,Number,11615,3651000
New York City,Female,11/04,Rate,177.22,3651000
New York City,Male,11/04,Rate,289.22,3651000
New York City,Female,11/12,Rate,179.15,3651000
New York City,Male,11/12,Rate,291.95,3651000
New York City,Female,11/19,Number,7834,3651000
New York City,Male,11/19,Number,11663,3651000
New York City,Female,11/26,Number,7864,3651000
New York City,Male,11/26,Number,11694,3651000
New York City,Female,12/03,Number,7883,3651000
New York City,Male,12/03,Number,11724,3651000
New York City,Female,12/11,Number,7942,3651000
New York City,Male,12/11,Number,11781,3651000
New York City,Female,11/19,Rate,179.75,3651000
New York City,Male,11/19,Rate,293.16,3651000
New York City,Female,11/26,Rate,180.43,3651000
New York City,Male,11/26,Rate,293.93,3651000
New York City,Female,12/03,Rate,180.87,3651000
New York City,Male,12/03,Rate,294.69,3651000
New York City,Female,12/11,Rate,182.22,3651000
New York City,Male,12/11,Rate,296.12,3651000
New York City,Female,1/27,Number,8875,3651000
New York City,Male,1/27,Number,12936,3651000
New York City,Female,2/12,Number,9438,3651000
New York City,Male,2/12,Number,13641,3651000
New York City,Female,2/26,Number,9899,3651000
New York City,Male,2/26,Number,14243,3651000
New York City,Female,3/05,Number,10143,3651000
New York City,Male,3/05,Number,14522,3651000
New York City,Female,1/27,Rate,203.63,3651000
New York City,Male,1/27,Rate,325.15,3651000
New York City,Female,2/12,Rate,216.55,3651000
New York City,Male,2/12,Rate,342.87,3651000
New York City,Female,2/26,Rate,227.13,3651000
New York City,Male,2/26,Rate,358,3651000
New York City,Female,3/05,Rate,232.72,3651000
New York City,Male,3/05,Rate,365.02,3651000
New York City,Female,3/19,Number,10516,3651000
New York City,Male,3/19,Number,14973,3651000
New York City,Female,4/02,Number,10842,3651000
New York City,Male,4/02,Number,15413,3651000
New York City,Female,4/11,Number,11064,3651000
New York City,Male,4/11,Number,15652,3651000
New York City,Female,3/19,Rate,241.28,3651000
New York City,Male,3/19,Rate,376.35,3651000
New York City,Female,4/02,Rate,248.76,3651000
New York City,Male,4/02,Rate,387.41,3651000
New York City,Female,4/11,Rate,253.86,3651000
New York City,Male,4/11,Rate,393.42,3651000
